time,Trace Velocity,EngSpd,MotSpd,GenSpd ,EngTrq,MotTrq,GenTrq,Battery Current,Battery SOC,Battery power,<BattPwrLoss>
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
12,0.2,0.19610625645438184,11.042606732108549,-2.964757793381407,0.0,2.666854607995778,-0.02519055909260756,0.022820525809651382,79.99997941387163,3.3554681823221464,1.61503405536196e-05
13,1.7,1.5982053079420309,100.37924909620776,-27.35159291382162,0.0,20.68283669651351,-0.20447216360631354,1.6313904254814287,79.99825714594418,239.79294100088194,0.08253666939087438
14,5.4,4.712367002841422,360.5557507900898,-100.48218263650327,0.0,51.61813349930678,-0.5930086318244973,15.86161569607676,79.97621689059375,2324.3272938708214,7.802527682070499
15,9.9,7.2073247244823415,742.4982797833565,-212.34299193033797,0.0,64.77907506093351,-0.8991529941567378,40.757423577135995,79.89435632653627,5939.805165001074,51.5215170687371
16,13.1,6.980773496446804,1068.9642718285586,-313.0687991768994,0.0,47.58400248233929,-0.8987897860927165,42.408202520369976,79.77548994486257,6176.317481133136,55.7860157721428
17,16.9,7.634577432624062,1378.0153925491259,-406.53268218657354,0.0,52.51910797716778,-1.0697066630843493,59.94148056950958,79.62873611422886,8694.007690504366,111.46609469492147
18,21.7,9.41802837762934,1760.4844257474188,-520.0923678285824,0.0,65.97364443253666,-1.3619001291970694,95.66807229136198,79.4028992183531,13761.79676207246,283.9995556390549
19,26.0,9.890032636827351,2140.502711015957,-635.7444575167924,0.0,60.10659682897423,-1.4837665693488837,105.68730094758408,79.11521592692995,15158.810019310225,346.697877700841
20,27.5,7.089670306459466,2322.8100712761184,-697.7868339219821,0.0,22.472416273909616,-1.2227980369976363,43.523558991532504,78.92169998276009,6323.42436040661,58.807996973458664
21,28.1,5.066412653811661,2363.457835992216,-714.6465057279552,0.0,8.672543520409619,-1.0973341886931796,17.594670280809478,78.84610253768516,2569.9606817964923,9.611294531423914
22,28.3,4.019873823172882,2359.0579327585897,-715.5622191822688,0.0,4.508556573878713,-1.0488674951385082,9.440954168530098,78.81213810282168,1381.2626582268952,2.76736084303827
23,28.8,3.950371677516818,2372.774655524762,-719.9232252845593,0.0,9.85628784230806,-1.099016767047,19.996746202213945,78.76792611450935,2918.753548995759,12.415705879028433
24,29.1,3.6408751859760002,2391.9792893999065,-726.4910163457391,0.0,8.652807489312194,-1.0994259394688535,17.800629198890004,78.71467282212848,2599.0650621775817,9.83888801625253
25,30.8,4.931387109015382,2497.22197400671,-756.0040077342032,0.0,27.19713684799588,-1.3105435357643094,56.30072362448604,78.59728298515677,8150.716188214998,98.43578264257606
26,31.9,4.771808823205834,2608.3048210368206,-790.4574448568991,0.0,20.935872758654117,-1.3130243300764248,45.966318625439534,78.45286582736202,6666.856045371843,65.62444881946969
27,34.1,5.76087288205957,2768.080751919454,-837.3657871769375,0.0,34.02126214846441,-1.4985030522782887,77.50378875285472,78.26921125121984,11159.809595847837,186.59924231708314
28,36.6,6.559948645262656,2975.587835845423,-899.3440566908073,0.0,38.80813395249872,-1.638868484953591,95.24653797664084,78.01787026982309,13653.162825990887,281.8829705358519
29,39.1,6.894115147436578,3190.3425650587433,-964.5538839414278,0.0,38.981273055312,-1.737339218524999,102.35346809869462,77.7344829292048,14638.476323460342,325.608353899341
30,41.3,6.7692689155319705,3385.156735935927,-1024.6364673050207,0.0,35.12278771687997,-1.787620784808407,97.77813093966446,77.44975289576752,13987.620201955488,297.231191689843
31,42.5,5.700980177828569,3509.2878860953288,-1065.0630059364535,0.0,22.3304994367479,-1.7238501039133223,65.57963685091111,77.22350860862736,9441.57441915233,133.7348714971333
32,43.3,4.782788454337472,3575.6178110218075,-1087.4155299014305,0.0,15.762441676907041,-1.6883608065272444,47.598253140044314,77.06725437710288,6876.635613117483,70.46197006008444
33,43.9,4.194747698616643,3616.536744273591,-1101.2517705277996,0.0,13.145037725923952,-1.6793586750285152,40.28036268359637,76.94456477318539,5826.822528661173,50.46745376241616
34,44.4,3.814663888597961,3648.5615873720126,-1111.9072259126274,0.0,12.348507260269873,-1.684722614683417,38.205238254462444,76.83361395006789,5527.693198680563,45.40643439928379
35,44.5,3.1776030219628497,3658.571085606252,-1116.3613924492747,0.0,7.973943732947097,-1.6490071398536519,25.24925699993451,76.74572245407387,3662.5990119594294,19.833800931879683
36,44.2,2.361338707323869,3635.306148686395,-1110.9873303071759,0.0,2.750150393302734,-1.590224200960015,9.69222600626913,76.69975287264127,1410.4740243151896,2.9226394949884016
37,42.7,0.6336676419725555,3523.0981978984764,-1080.2800546694766,0.0,-9.108062644003954,-1.4172945443335987,-19.033104858183275,76.73680277336315,-2787.0649075381116,11.270204508093773
38,39.9,-1.3624222694894579,3319.284159173214,-1022.0307809388589,0.0,-20.74257544621103,-1.1993253781777204,-42.55830875854601,76.84746042541626,-6264.628265673621,56.342283044932906
